Date,Price,Open,High,Low,Vol.,Change %
1997-05-15,0.1,0.12,0.12,0.1,1.44B,-99.98%
1997-05-16,0.09,0.1,0.1,0.09,294.00M,-10.00%
1997-05-19,0.09,0.09,0.09,0.08,122.14M,0.00%
1997-05-20,0.08,0.09,0.09,0.08,109.34M,-11.11%
1997-05-21,0.07,0.08,0.08,0.07,377.06M,-12.50%
1997-05-22,0.07,0.07,0.07,0.07,233.47M,0.00%
1997-05-23,0.07,0.07,0.08,0.07,318.74M,0.00%
1997-05-27,0.08,0.08,0.08,0.07,173.95M,14.29%
1997-05-28,0.08,0.08,0.08,0.08,91.49M,0.00%
1997-05-29,0.08,0.08,0.08,0.07,69.46M,0.00%
1997-05-30,0.07,0.07,0.08,0.07,51.89M,-12.50%
1997-06-02,0.08,0.08,0.08,0.07,11.83M,14.29%
1997-06-03,0.07,0.08,0.08,0.07,23.66M,-12.50%
1997-06-04,0.07,0.07,0.07,0.07,61.61M,0.00%
1997-06-05,0.08,0.07,0.08,0.07,113.45M,14.29%
1997-06-06,0.08,0.08,0.09,0.08,156.14M,0.00%
1997-06-09,0.08,0.08,0.09,0.08,47.04M,0.00%
1997-06-10,0.08,0.09,0.09,0.08,109.18M,0.00%
1997-06-11,0.08,0.08,0.08,0.08,23.76M,0.00%
1997-06-12,0.08,0.08,0.08,0.08,32.64M,0.00%
1997-06-13,0.08,0.08,0.08,0.08,13.87M,0.00%
1997-06-16,0.08,0.08,0.08,0.08,18.26M,0.00%
1997-06-17,0.08,0.08,0.08,0.07,94.13M,0.00%
1997-06-18,0.08,0.08,0.08,0.07,49.30M,0.00%
1997-06-19,0.08,0.08,0.08,0.07,20.06M,0.00%
1997-06-20,0.08,0.08,0.08,0.07,67.75M,0.00%
1997-06-23,0.07,0.08,0.08,0.07,20.95M,-12.50%
1997-06-24,0.08,0.08,0.08,0.07,15.02M,14.29%
1997-06-25,0.08,0.08,0.08,0.07,42.12M,0.00%
1997-06-26,0.08,0.08,0.08,0.08,63.79M,0.00%
1997-06-27,0.07,0.08,0.08,0.07,23.76M,-12.50%
1997-06-30,0.08,0.08,0.08,0.07,54.94M,14.29%
1997-07-01,0.08,0.08,0.08,0.08,25.85M,0.00%
1997-07-02,0.08,0.08,0.08,0.08,77.64M,0.00%
