Date,Price,Open,High,Low,Vol.,Change %
1980-12-12,0.13,0.13,0.13,0.13,469.03M,-99.88%
1980-12-15,0.12,0.12,0.12,0.12,175.88M,-7.69%
1980-12-16,0.11,0.11,0.11,0.11,105.73M,-8.33%
1980-12-17,0.12,0.12,0.12,0.12,86.44M,9.09%
1980-12-18,0.12,0.12,0.12,0.12,73.45M,0.00%
1980-12-19,0.13,0.13,0.13,0.13,48.63M,8.33%
1980-12-22,0.13,0.13,0.13,0.13,37.36M,0.00%
1980-12-23,0.14,0.14,0.14,0.14,46.95M,7.69%
1980-12-24,0.15,0.15,0.15,0.15,48.00M,7.14%
1980-12-26,0.16,0.16,0.16,0.16,55.57M,6.67%
1980-12-29,0.16,0.16,0.16,0.16,93.16M,0.00%
1980-12-30,0.16,0.16,0.16,0.16,68.88M,0.00%
1980-12-31,0.15,0.15,0.15,0.15,35.75M,-6.25%
1981-01-02,0.15,0.15,0.16,0.15,21.66M,0.00%
1981-01-05,0.15,0.15,0.15,0.15,35.73M,0.00%
1981-01-06,0.14,0.14,0.14,0.14,45.16M,-6.67%
1981-01-07,0.14,0.14,0.14,0.14,55.69M,0.00%
1981-01-08,0.14,0.14,0.14,0.14,39.83M,0.00%
1981-01-09,0.14,0.14,0.14,0.14,21.50M,0.00%
1981-01-12,0.14,0.14,0.14,0.14,23.70M,0.00%
1981-01-13,0.14,0.14,0.14,0.14,23.05M,0.00%
1981-01-14,0.14,0.14,0.14,0.14,14.29M,0.00%
1981-01-15,0.14,0.14,0.14,0.14,14.07M,0.00%
1981-01-16,0.14,0.14,0.14,0.14,13.40M,0.00%
1981-01-19,0.15,0.15,0.15,0.15,41.57M,7.14%
1981-01-20,0.14,0.14,0.14,0.14,30.08M,-6.67%
1981-01-21,0.15,0.15,0.15,0.15,15.90M,7.14%
1981-01-22,0.15,0.15,0.15,0.15,35.55M,0.00%
1981-01-23,0.15,0.15,0.15,0.15,11.22M,0.00%
1981-01-26,0.14,0.14,0.14,0.14,24.64M,-6.67%
1981-01-27,0.14,0.14,0.14,0.14,23.70M,0.00%
1981-01-28,0.14,0.14,0.14,0.14,28.16M,0.00%
1981-01-29,0.13,0.13,0.13,0.13,43.90M,-7.14%
1981-01-30,0.13,0.13,0.13,0.13,46.19M,0.00%
1981-02-02,0.12,0.12,0.12,0.12,23.77M,-7.69%
1981-02-03,0.12,0.12,0.12,0.12,19.15M,0.00%
1981-02-04,0.13,0.13,0.13,0.13,27.87M,8.33%
1981-02-05,0.13,0.13,0.13,0.13,7.93M,0.00%
1981-02-06,0.13,0.13,0.13,0.13,13.87M,0.00%
1981-02-09,0.12,0.12,0.12,0.12,16.76M,-7.69%
1981-02-10,0.12,0.12,0.12,0.12,18.35M,0.00%
1981-02-11,0.12,0.12,0.12,0.12,13.84M,0.00%
1981-02-12,0.12,0.12,0.12,0.12,14.56M,0.00%
1981-02-13,0.11,0.11,0.11,0.11,11.16M,-8.33%
1981-02-17,0.12,0.12,0.12,0.12,12.28M,9.09%
1981-02-18,0.12,0.12,0.12,0.12,19.24M,0.00%
1981-02-19,0.11,0.11,0.11,0.11,22.31M,-8.33%
1981-02-20,0.11,0.11,0.11,0.11,24.37M,0.00%
1981-02-23,0.11,0.11,0.11,0.11,14.11M,0.00%
1981-02-24,0.11,0.11,0.11,0.11,16.98M,0.00%
1981-02-25,0.11,0.11,0.11,0.11,19.49M,0.00%
1981-02-26,0.11,0.11,0.11,0.11,10.84M,0.00%
1981-02-27,0.12,0.12,0.12,0.12,14.76M,9.09%
1981-03-02,0.12,0.12,0.12,0.12,11.76M,0.00%
1981-03-03,0.12,0.12,0.12,0.12,16.17M,0.00%
1981-03-04,0.12,0.12,0.12,0.12,13.71M,0.00%
1981-03-05,0.12,0.12,0.12,0.12,5.38M,0.00%
1981-03-06,0.11,0.11,0.12,0.11,11.60M,-8.33%
1981-03-09,0.11,0.11,0.11,0.11,15.32M,0.00%
1981-03-10,0.1,0.1,0.1,0.1,28.38M,-9.09%
1981-03-11,0.1,0.1,0.1,0.1,29.86M,0.00%
1981-03-12,0.1,0.1,0.1,0.1,59.25M,0.00%
1981-03-13,0.1,0.1,0.1,0.1,231.30M,0.00%
1981-03-16,0.1,0.1,0.1,0.1,37.23M,0.00%
1981-03-17,0.11,0.11,0.11,0.11,43.75M,10.00%
1981-03-18,0.11,0.11,0.12,0.11,36.94M,0.00%
1981-03-19,0.11,0.11,0.11,0.11,37.81M,0.00%
1981-03-20,0.11,0.11,0.12,0.11,14.60M,0.00%
1981-03-23,0.12,0.12,0.12,0.12,22.02M,9.09%
1981-03-24,0.12,0.12,0.12,0.12,28.16M,0.00%
1981-03-25,0.12,0.12,0.12,0.12,7.06M,0.00%
1981-03-26,0.11,0.11,0.11,0.11,12.28M,-8.33%
1981-03-27,0.11,0.11,0.11,0.11,12.25M,0.00%
1981-03-30,0.11,0.11,0.11,0.11,9.90M,0.00%
1981-03-31,0.11,0.11,0.11,0.11,15.99M,0.00%
1981-04-01,0.11,0.11,0.11,0.11,34.07M,0.00%
1981-04-02,0.12,0.12,0.12,0.12,31.40M,9.09%
1981-04-03,0.12,0.12,0.12,0.12,16.49M,0.00%
1981-04-06,0.12,0.12,0.12,0.12,22.80M,0.00%
1981-04-07,0.11,0.11,0.12,0.11,10.68M,-8.33%
1981-04-08,0.12,0.12,0.12,0.12,21.95M,9.09%
1981-04-09,0.12,0.12,0.12,0.12,12.50M,0.00%
1981-04-10,0.12,0.12,0.12,0.12,33.47M,0.00%
1981-04-13,0.12,0.12,0.12,0.12,16.06M,0.00%
1981-04-14,0.12,0.12,0.12,0.12,6.65M,0.00%
1981-04-15,0.12,0.12,0.12,0.12,34.05M,0.00%
1981-04-16,0.11,0.11,0.11,0.11,23.88M,-8.33%
1981-04-20,0.11,0.11,0.12,0.11,35.35M,0.00%
1981-04-21,0.12,0.12,0.12,0.12,28.54M,9.09%
1981-04-22,0.13,0.13,0.13,0.13,19.00M,8.33%
1981-04-23,0.13,0.13,0.13,0.13,58.02M,0.00%
1981-04-24,0.13,0.13,0.13,0.13,35.06M,0.00%
1981-04-27,0.13,0.13,0.13,0.13,38.53M,0.00%
1981-04-28,0.13,0.13,0.13,0.13,32.19M,0.00%
1981-04-29,0.12,0.12,0.12,0.12,13.64M,-7.69%
1981-04-30,0.13,0.13,0.13,0.13,12.61M,8.33%
1981-05-01,0.13,0.13,0.13,0.13,16.55M,0.00%
1981-05-04,0.13,0.13,0.13,0.13,14.45M,0.00%
1981-05-05,0.13,0.13,0.13,0.13,17.54M,0.00%
1981-05-06,0.12,0.12,0.12,0.12,18.95M,-7.69%
1981-05-07,0.12,0.12,0.12,0.12,9.36M,0.00%
1981-05-08,0.12,0.12,0.13,0.12,7.91M,0.00%
1981-05-11,0.12,0.12,0.12,0.12,11.94M,0.00%
1981-05-12,0.12,0.12,0.12,0.12,4.26M,0.00%
1981-05-13,0.12,0.12,0.12,0.12,4.91M,0.00%
1981-05-14,0.12,0.12,0.12,0.12,4.93M,0.00%
1981-05-15,0.12,0.12,0.12,0.12,4.91M,0.00%
1981-05-18,0.12,0.12,0.13,0.12,4.17M,0.00%
1981-05-19,0.12,0.12,0.12,0.12,25.42M,0.00%
1981-05-20,0.13,0.13,0.13,0.13,13.28M,8.33%
1981-05-21,0.13,0.13,0.13,0.13,32.21M,0.00%
1981-05-22,0.14,0.14,0.14,0.14,31.43M,7.69%
1981-05-26,0.14,0.14,0.14,0.14,85.34M,0.00%
1981-05-27,0.15,0.15,0.15,0.15,149.50M,7.14%
1981-05-28,0.15,0.15,0.15,0.15,73.99M,0.00%
1981-05-29,0.15,0.15,0.15,0.15,59.38M,0.00%
1981-06-01,0.15,0.15,0.15,0.15,51.25M,0.00%
1981-06-02,0.14,0.14,0.14,0.14,40.43M,-6.67%
1981-06-03,0.14,0.14,0.14,0.14,39.45M,0.00%
1981-06-04,0.14,0.14,0.14,0.14,56.07M,0.00%
1981-06-05,0.14,0.14,0.14,0.14,57.68M,0.00%
1981-06-08,0.14,0.14,0.14,0.14,93.50M,0.00%
1981-06-09,0.14,0.14,0.14,0.14,119.59M,0.00%
1981-06-10,0.14,0.14,0.14,0.14,25.22M,0.00%
1981-06-11,0.15,0.15,0.15,0.15,38.98M,7.14%
1981-06-12,0.15,0.15,0.15,0.15,25.80M,0.00%
1981-06-15,0.14,0.14,0.15,0.14,143.76M,-6.67%
1981-06-16,0.14,0.14,0.14,0.14,37.25M,0.00%
1981-06-17,0.14,0.14,0.14,0.14,27.57M,0.00%
1981-06-18,0.14,0.14,0.14,0.14,23.05M,0.00%
1981-06-19,0.14,0.14,0.14,0.14,27.51M,0.00%
1981-06-22,0.13,0.13,0.13,0.13,10.84M,-7.14%
1981-06-23,0.13,0.13,0.13,0.13,15.03M,0.00%
1981-06-24,0.13,0.13,0.13,0.13,23.03M,0.00%
1981-06-25,0.13,0.13,0.13,0.13,24.26M,0.00%
1981-06-26,0.13,0.13,0.13,0.13,23.79M,0.00%
1981-06-29,0.13,0.13,0.13,0.13,10.60M,0.00%
1981-06-30,0.12,0.12,0.12,0.12,35.91M,-7.69%
1981-07-01,0.11,0.11,0.12,0.11,170.46M,-8.33%
1981-07-02,0.11,0.11,0.12,0.11,30.28M,0.00%
1981-07-06,0.11,0.11,0.11,0.11,16.53M,0.00%
1981-07-07,0.11,0.11,0.11,0.11,15.84M,0.00%
1981-07-08,0.12,0.12,0.12,0.12,16.62M,9.09%
1981-07-09,0.11,0.11,0.11,0.11,32.88M,-8.33%
1981-07-10,0.1,0.1,0.1,0.1,55.17M,-9.09%
1981-07-13,0.1,0.1,0.1,0.1,45.74M,0.00%
1981-07-14,0.11,0.11,0.11,0.11,19.78M,10.00%
1981-07-15,0.11,0.11,0.11,0.11,10.95M,0.00%
1981-07-16,0.11,0.11,0.11,0.11,15.23M,0.00%
1981-07-17,0.12,0.12,0.12,0.12,19.82M,9.09%
1981-07-20,0.11,0.11,0.11,0.11,23.65M,-8.33%
1981-07-21,0.11,0.11,0.11,0.11,31.94M,0.00%
1981-07-22,0.1,0.1,0.1,0.1,22.67M,-9.09%
1981-07-23,0.1,0.1,0.1,0.1,34.45M,0.00%
1981-07-24,0.11,0.11,0.11,0.11,28.85M,10.00%
1981-07-27,0.11,0.11,0.11,0.11,17.34M,0.00%
1981-07-28,0.11,0.11,0.11,0.11,22.85M,0.00%
1981-07-29,0.11,0.11,0.11,0.11,15.50M,0.00%
1981-07-30,0.11,0.11,0.11,0.11,9.90M,0.00%
1981-07-31,0.11,0.11,0.11,0.11,10.95M,0.00%
1981-08-03,0.11,0.11,0.11,0.11,12.43M,0.00%
1981-08-04,0.11,0.11,0.11,0.11,31.67M,0.00%
1981-08-05,0.12,0.12,0.12,0.12,17.49M,9.09%
1981-08-06,0.11,0.11,0.11,0.11,10.53M,-8.33%
1981-08-07,0.11,0.11,0.11,0.11,9.21M,0.00%
1981-08-11,0.11,0.11,0.11,0.11,71.46M,0.00%
1981-08-12,0.11,0.11,0.11,0.11,26.28M,0.00%
1981-08-13,0.1,0.1,0.1,0.1,27.48M,-9.09%
1981-08-14,0.1,0.1,0.1,0.1,24.19M,0.00%
1981-08-17,0.1,0.1,0.1,0.1,18.91M,0.00%
1981-08-18,0.1,0.1,0.1,0.1,17.00M,0.00%
1981-08-19,0.1,0.1,0.1,0.1,20.68M,0.00%
1981-08-20,0.1,0.1,0.1,0.1,17.11M,0.00%
1981-08-21,0.09,0.09,0.09,0.09,41.91M,-10.00%
1981-08-24,0.08,0.08,0.08,0.08,23.07M,-11.11%
1981-08-25,0.09,0.09,0.09,0.09,40.70M,12.50%
1981-08-26,0.08,0.08,0.09,0.08,33.60M,-11.11%
1981-08-27,0.09,0.09,0.09,0.09,25.92M,12.50%
1981-08-28,0.09,0.09,0.09,0.09,38.04M,0.00%
1981-08-31,0.09,0.09,0.09,0.09,40.95M,0.00%
1981-09-01,0.1,0.1,0.1,0.1,37.03M,11.11%
1981-09-02,0.1,0.1,0.1,0.1,19.38M,0.00%
1981-09-03,0.09,0.09,0.09,0.09,37.48M,-10.00%
1981-09-04,0.09,0.09,0.09,0.09,15.25M,0.00%
1981-09-08,0.09,0.09,0.09,0.09,25.45M,0.00%
1981-09-09,0.09,0.09,0.09,0.09,30.53M,0.00%
1981-09-10,0.09,0.09,0.09,0.09,34.81M,0.00%
1981-09-11,0.09,0.09,0.09,0.09,17.54M,0.00%
1981-09-14,0.08,0.08,0.09,0.08,27.69M,-11.11%
1981-09-15,0.08,0.08,0.08,0.08,19.51M,0.00%
1981-09-16,0.08,0.08,0.08,0.08,19.35M,0.00%
1981-09-17,0.08,0.08,0.08,0.08,19.38M,0.00%
1981-09-18,0.08,0.08,0.08,0.08,26.32M,0.00%
1981-09-21,0.08,0.08,0.08,0.08,49.03M,0.00%
1981-09-22,0.08,0.08,0.08,0.08,47.42M,0.00%
1981-09-23,0.07,0.07,0.07,0.07,28.20M,-12.50%
1981-09-24,0.07,0.07,0.07,0.07,18.30M,0.00%
1981-09-25,0.06,0.06,0.06,0.06,34.61M,-14.29%
1981-09-28,0.06,0.06,0.06,0.06,91.73M,0.00%
1981-09-29,0.07,0.07,0.07,0.07,94.68M,16.67%
1981-09-30,0.07,0.07,0.07,0.07,50.00M,0.00%
1981-10-01,0.07,0.07,0.07,0.07,61.13M,0.00%
1981-10-02,0.07,0.07,0.07,0.07,45.05M,0.00%
1981-10-05,0.08,0.08,0.08,0.08,43.10M,14.29%
1981-10-06,0.08,0.08,0.08,0.08,28.36M,0.00%
1981-10-07,0.08,0.08,0.08,0.08,38.84M,0.00%
1981-10-08,0.08,0.08,0.08,0.08,31.09M,0.00%
1981-10-09,0.08,0.08,0.08,0.08,54.52M,0.00%
1981-10-12,0.09,0.09,0.09,0.09,27.35M,12.50%
1981-10-13,0.09,0.09,0.09,0.09,44.20M,0.00%
1981-10-14,0.08,0.08,0.08,0.08,30.98M,-11.11%
1981-10-15,0.08,0.08,0.08,0.08,29.43M,0.00%
1981-10-16,0.08,0.08,0.08,0.08,36.47M,0.00%
1981-10-19,0.08,0.08,0.08,0.08,20.59M,0.00%
1981-10-20,0.09,0.09,0.09,0.09,35.73M,12.50%
1981-10-21,0.09,0.09,0.09,0.09,76.90M,0.00%
1981-10-22,0.09,0.09,0.09,0.09,32.28M,0.00%
1981-10-23,0.08,0.08,0.09,0.08,27.91M,-11.11%
1981-10-26,0.08,0.08,0.09,0.08,27.28M,0.00%
1981-10-27,0.09,0.09,0.09,0.09,85.59M,12.50%
1981-10-28,0.09,0.09,0.09,0.09,44.17M,0.00%
1981-10-29,0.09,0.09,0.09,0.09,30.49M,0.00%
1981-10-30,0.09,0.09,0.09,0.09,52.73M,0.00%
1981-11-02,0.09,0.09,0.09,0.09,36.92M,0.00%
1981-11-03,0.09,0.09,0.09,0.09,28.38M,0.00%
1981-11-04,0.09,0.09,0.09,0.09,23.81M,0.00%
1981-11-05,0.08,0.08,0.08,0.08,23.36M,-11.11%
1981-11-06,0.08,0.08,0.08,0.08,24.60M,0.00%
1981-11-09,0.08,0.08,0.08,0.08,20.38M,0.00%
1981-11-10,0.08,0.08,0.08,0.08,16.76M,0.00%
1981-11-11,0.08,0.08,0.08,0.08,27.44M,0.00%
1981-11-12,0.09,0.09,0.09,0.09,39.92M,12.50%
1981-11-13,0.08,0.08,0.08,0.08,21.01M,-11.11%
1981-11-16,0.08,0.08,0.08,0.08,22.56M,0.00%
1981-11-17,0.08,0.08,0.08,0.08,35.41M,0.00%
1981-11-18,0.08,0.08,0.08,0.08,29.14M,0.00%
1981-11-19,0.08,0.08,0.08,0.08,40.01M,0.00%
1981-11-20,0.08,0.08,0.09,0.08,38.10M,0.00%
1981-11-23,0.08,0.08,0.08,0.08,22.96M,0.00%
1981-11-24,0.08,0.08,0.08,0.08,22.15M,0.00%
1981-11-25,0.08,0.08,0.08,0.08,52.55M,0.00%
1981-11-27,0.08,0.08,0.08,0.08,37.25M,0.00%
1981-11-30,0.08,0.08,0.08,0.08,23.97M,0.00%
1981-12-01,0.08,0.08,0.08,0.08,23.39M,0.00%
1981-12-02,0.08,0.08,0.08,0.08,37.56M,0.00%
1981-12-03,0.08,0.08,0.08,0.08,20.43M,0.00%
1981-12-04,0.08,0.08,0.09,0.08,137.16M,0.00%
1981-12-07,0.09,0.09,0.09,0.09,59.29M,12.50%
1981-12-08,0.08,0.08,0.08,0.08,50.62M,-11.11%
1981-12-09,0.08,0.08,0.08,0.08,34.27M,0.00%
1981-12-10,0.08,0.08,0.08,0.08,37.41M,0.00%
1981-12-11,0.08,0.08,0.08,0.08,76.09M,0.00%
1981-12-14,0.08,0.08,0.08,0.08,25.24M,0.00%
1981-12-15,0.08,0.08,0.08,0.08,31.32M,0.00%
1981-12-16,0.09,0.09,0.09,0.09,65.45M,12.50%
1981-12-17,0.09,0.09,0.09,0.09,51.45M,0.00%
1981-12-18,0.1,0.1,0.1,0.1,71.72M,11.11%
1981-12-21,0.1,0.1,0.1,0.1,56.40M,0.00%
1981-12-22,0.1,0.1,0.1,0.1,53.83M,0.00%
1981-12-23,0.1,0.1,0.1,0.1,28.90M,0.00%
1981-12-24,0.1,0.1,0.1,0.1,28.92M,0.00%
1981-12-28,0.09,0.09,0.09,0.09,36.58M,-10.00%
1981-12-29,0.09,0.09,0.1,0.09,24.24M,0.00%
1981-12-30,0.1,0.1,0.1,0.1,32.19M,11.11%
1981-12-31,0.1,0.1,0.1,0.1,54.66M,0.00%
1982-01-04,0.1,0.1,0.1,0.1,71.25M,0.00%
1982-01-05,0.09,0.09,0.09,0.09,35.84M,-10.00%
1982-01-06,0.09,0.09,0.09,0.09,66.08M,0.00%
1982-01-07,0.08,0.08,0.09,0.08,70.04M,-11.11%
1982-01-08,0.09,0.09,0.09,0.09,56.60M,12.50%
1982-01-11,0.08,0.08,0.08,0.08,33.33M,-11.11%
1982-01-12,0.08,0.08,0.08,0.08,59.92M,0.00%
1982-01-13,0.08,0.08,0.08,0.08,41.75M,0.00%
1982-01-14,0.08,0.08,0.08,0.08,25.72M,0.00%
1982-01-15,0.09,0.09,0.09,0.09,46.70M,12.50%
1982-01-18,0.09,0.09,0.09,0.09,28.00M,0.00%
1982-01-19,0.09,0.09,0.09,0.09,55.51M,0.00%
1982-01-20,0.09,0.09,0.09,0.09,25.83M,0.00%
1982-01-21,0.09,0.09,0.09,0.09,33.33M,0.00%
1982-01-22,0.09,0.09,0.09,0.09,24.26M,0.00%
1982-01-25,0.09,0.09,0.09,0.09,44.71M,0.00%
1982-01-26,0.09,0.09,0.09,0.09,21.21M,0.00%
1982-01-27,0.09,0.09,0.09,0.09,31.36M,0.00%
1982-01-28,0.09,0.09,0.09,0.09,39.60M,0.00%
1982-01-29,0.09,0.09,0.09,0.09,53.16M,0.00%
1982-02-01,0.09,0.09,0.09,0.09,38.53M,0.00%
1982-02-02,0.09,0.09,0.09,0.09,54.28M,0.00%
1982-02-03,0.09,0.09,0.09,0.09,31.47M,0.00%
1982-02-04,0.09,0.09,0.09,0.09,22.04M,0.00%
1982-02-05,0.09,0.09,0.09,0.09,40.30M,0.00%
1982-02-08,0.08,0.08,0.08,0.08,31.70M,-11.11%
1982-02-09,0.08,0.08,0.08,0.08,57.90M,0.00%
1982-02-10,0.08,0.08,0.08,0.08,38.80M,0.00%
1982-02-11,0.08,0.08,0.08,0.08,24.53M,0.00%
1982-02-12,0.08,0.08,0.08,0.08,19.64M,0.00%
1982-02-16,0.08,0.08,0.08,0.08,34.32M,0.00%
1982-02-17,0.08,0.08,0.08,0.08,25.58M,0.00%
1982-02-18,0.08,0.08,0.08,0.08,28.38M,0.00%
1982-02-19,0.08,0.08,0.08,0.08,13.60M,0.00%
1982-02-22,0.08,0.08,0.08,0.08,26.63M,0.00%
1982-02-23,0.08,0.08,0.08,0.08,34.54M,0.00%
1982-02-24,0.08,0.08,0.08,0.08,37.95M,0.00%
1982-02-25,0.08,0.08,0.08,0.08,30.80M,0.00%
1982-02-26,0.08,0.08,0.08,0.08,17.43M,0.00%
1982-03-01,0.08,0.08,0.08,0.08,35.30M,0.00%
1982-03-02,0.08,0.08,0.08,0.08,34.81M,0.00%
1982-03-03,0.08,0.08,0.08,0.08,23.65M,0.00%
1982-03-04,0.08,0.08,0.08,0.08,38.37M,0.00%
1982-03-05,0.07,0.07,0.07,0.07,45.32M,-12.50%
1982-03-08,0.07,0.07,0.07,0.07,35.15M,0.00%
1982-03-09,0.07,0.07,0.07,0.07,52.51M,0.00%
1982-03-10,0.07,0.07,0.07,0.07,86.93M,0.00%
1982-03-11,0.07,0.07,0.07,0.07,22.58M,0.00%
1982-03-12,0.07,0.07,0.07,0.07,46.55M,0.00%
1982-03-15,0.07,0.07,0.07,0.07,51.36M,0.00%
1982-03-16,0.07,0.07,0.07,0.07,47.15M,0.00%
1982-03-17,0.06,0.06,0.06,0.06,50.49M,-14.29%
1982-03-18,0.07,0.07,0.07,0.07,56.34M,16.67%
1982-03-19,0.07,0.07,0.07,0.07,65.81M,0.00%
1982-03-22,0.08,0.08,0.08,0.08,69.19M,14.29%
1982-03-23,0.08,0.08,0.08,0.08,55.96M,0.00%
1982-03-24,0.07,0.07,0.07,0.07,51.61M,-12.50%
1982-03-25,0.07,0.07,0.07,0.07,84.11M,0.00%
1982-03-26,0.07,0.07,0.07,0.07,50.78M,0.00%
1982-03-29,0.07,0.07,0.07,0.07,67.60M,0.00%
1982-03-30,0.08,0.08,0.08,0.08,77.95M,14.29%
1982-03-31,0.08,0.08,0.08,0.08,50.15M,0.00%
1982-04-01,0.08,0.08,0.08,0.08,59.14M,0.00%
1982-04-02,0.08,0.08,0.08,0.08,84.81M,0.00%
1982-04-05,0.08,0.08,0.08,0.08,86.64M,0.00%
1982-04-06,0.08,0.08,0.08,0.08,71.59M,0.00%
1982-04-07,0.08,0.08,0.08,0.08,29.10M,0.00%
1982-04-08,0.08,0.08,0.08,0.08,23.99M,0.00%
1982-04-12,0.08,0.08,0.08,0.08,44.31M,0.00%
1982-04-13,0.07,0.07,0.07,0.07,85.30M,-12.50%
1982-04-14,0.07,0.07,0.07,0.07,113.59M,0.00%
1982-04-15,0.07,0.07,0.07,0.07,164.28M,0.00%
1982-04-16,0.08,0.08,0.08,0.08,104.05M,14.29%
1982-04-19,0.07,0.07,0.07,0.07,41.28M,-12.50%
1982-04-20,0.07,0.07,0.07,0.07,80.55M,0.00%
1982-04-21,0.07,0.07,0.07,0.07,73.02M,0.00%
1982-04-22,0.07,0.07,0.07,0.07,52.60M,0.00%
1982-04-23,0.07,0.07,0.07,0.07,48.29M,0.00%
1982-04-26,0.07,0.07,0.07,0.07,57.93M,0.00%
1982-04-27,0.07,0.07,0.07,0.07,70.27M,0.00%
1982-04-28,0.07,0.07,0.07,0.07,99.23M,0.00%
1982-04-29,0.07,0.07,0.07,0.07,82.23M,0.00%
1982-04-30,0.07,0.07,0.07,0.07,277.40M,0.00%
1982-05-03,0.07,0.07,0.07,0.07,82.70M,0.00%
1982-05-04,0.07,0.07,0.07,0.07,73.99M,0.00%
1982-05-05,0.07,0.07,0.07,0.07,53.94M,0.00%
1982-05-06,0.07,0.07,0.07,0.07,75.47M,0.00%
1982-05-07,0.07,0.07,0.07,0.07,84.72M,0.00%
1982-05-10,0.07,0.07,0.07,0.07,31.61M,0.00%
1982-05-11,0.07,0.07,0.07,0.07,103.02M,0.00%
1982-05-12,0.07,0.07,0.07,0.07,71.01M,0.00%
1982-05-13,0.07,0.07,0.07,0.07,54.45M,0.00%
1982-05-14,0.07,0.07,0.07,0.07,95.74M,0.00%
1982-05-17,0.06,0.06,0.06,0.06,76.20M,-14.29%
1982-05-18,0.06,0.06,0.06,0.06,122.04M,0.00%
1982-05-19,0.06,0.06,0.06,0.06,75.29M,0.00%
1982-05-20,0.06,0.06,0.06,0.06,27.62M,0.00%
1982-05-21,0.06,0.06,0.06,0.06,38.84M,0.00%
1982-05-24,0.06,0.06,0.06,0.06,31.99M,0.00%
1982-05-25,0.06,0.06,0.06,0.06,51.56M,0.00%
1982-05-26,0.06,0.06,0.06,0.06,43.28M,0.00%
1982-05-27,0.06,0.06,0.06,0.06,31.25M,0.00%
1982-05-28,0.06,0.06,0.06,0.06,19.20M,0.00%
1982-06-01,0.06,0.06,0.06,0.06,47.60M,0.00%
1982-06-02,0.06,0.06,0.06,0.06,32.91M,0.00%
1982-06-03,0.06,0.06,0.06,0.06,39.76M,0.00%
1982-06-04,0.06,0.06,0.06,0.06,37.68M,0.00%
1982-06-07,0.06,0.06,0.06,0.06,37.16M,0.00%
1982-06-08,0.06,0.06,0.06,0.06,31.40M,0.00%
1982-06-09,0.06,0.06,0.06,0.06,33.85M,0.00%
1982-06-10,0.06,0.06,0.06,0.06,34.41M,0.00%
1982-06-11,0.06,0.06,0.06,0.06,54.63M,0.00%
1982-06-14,0.06,0.06,0.06,0.06,29.99M,0.00%
1982-06-15,0.06,0.06,0.06,0.06,35.21M,0.00%
1982-06-16,0.06,0.06,0.06,0.06,41.73M,0.00%
1982-06-17,0.06,0.06,0.06,0.06,29.16M,0.00%
1982-06-18,0.06,0.06,0.06,0.06,19.87M,0.00%
1982-06-21,0.06,0.06,0.06,0.06,28.54M,0.00%
1982-06-22,0.06,0.06,0.06,0.06,17.56M,0.00%
1982-06-23,0.06,0.06,0.06,0.06,52.75M,0.00%
1982-06-24,0.06,0.06,0.06,0.06,44.15M,0.00%
1982-06-25,0.06,0.06,0.06,0.06,26.68M,0.00%
1982-06-28,0.06,0.06,0.06,0.06,25.16M,0.00%
1982-06-29,0.06,0.06,0.06,0.06,35.82M,0.00%
1982-06-30,0.06,0.06,0.06,0.06,67.63M,0.00%
1982-07-01,0.06,0.06,0.06,0.06,55.73M,0.00%
1982-07-02,0.05,0.05,0.05,0.05,58.11M,-16.67%
1982-07-06,0.05,0.05,0.05,0.05,87.70M,0.00%
1982-07-07,0.05,0.05,0.05,0.05,30.37M,0.00%
1982-07-08,0.05,0.05,0.05,0.05,164.33M,0.00%
1982-07-09,0.05,0.05,0.05,0.05,128.42M,0.00%
1982-07-12,0.05,0.05,0.05,0.05,63.39M,0.00%
