Date,Price,Open,High,Low,Vol.,Change %
2004-08-20,2.71,2.54,2.73,2.51,228.59M,7.97%
2004-08-23,2.74,2.77,2.84,2.73,182.80M,1.11%
2004-08-24,2.62,2.78,2.79,2.59,152.64M,-4.38%
2004-08-25,2.65,2.63,2.7,2.6,91.98M,1.15%
2004-08-26,2.7,2.63,2.7,2.62,71.02M,1.89%
2004-08-27,2.66,2.71,2.72,2.64,62.18M,-1.48%
2004-08-30,2.55,2.64,2.64,2.55,52.03M,-4.14%
2004-08-31,2.56,2.56,2.6,2.56,49.27M,0.39%
2004-09-01,2.51,2.57,2.58,2.49,91.49M,-1.95%
2004-09-02,2.54,2.48,2.56,2.48,151.34M,1.20%
2004-09-03,2.5,2.53,2.55,2.49,51.57M,-1.57%
2004-09-07,2.54,2.53,2.55,2.49,58.54M,1.60%
2004-09-08,2.56,2.52,2.58,2.51,49.90M,0.79%
2004-09-09,2.56,2.56,2.57,2.53,40.66M,0.00%
2004-09-10,2.64,2.54,2.67,2.53,87.08M,3.13%
2004-09-13,2.69,2.67,2.71,2.66,78.55M,1.89%
2004-09-14,2.79,2.69,2.8,2.67,109.77M,3.72%
2004-09-15,2.8,2.77,2.86,2.76,107.25M,0.36%
2004-09-16,2.85,2.81,2.9,2.79,92.76M,1.79%
2004-09-17,2.94,2.86,2.94,2.84,94.97M,3.16%
2004-09-20,2.99,2.93,3.04,2.92,106.65M,1.70%
2004-09-21,2.95,3.01,3.01,2.94,72.36M,-1.34%
2004-09-22,2.96,2.94,2.99,2.92,75.89M,0.34%
2004-09-23,3.02,2.97,3.07,2.93,85.46M,2.03%
2004-09-24,3.0,3.03,3.11,3.0,91.33M,-0.66%
2004-09-27,2.96,2.99,3.02,2.95,70.74M,-1.33%
2004-09-28,3.17,3.03,3.19,3.01,169.52M,7.09%
2004-09-29,3.28,3.17,3.38,3.16,305.50M,3.47%
2004-09-30,3.24,3.25,3.31,3.23,137.80M,-1.22%
2004-10-01,3.32,3.27,3.36,3.23,151.43M,2.47%
2004-10-04,3.38,3.4,3.43,3.35,130.84M,1.81%
2004-10-05,3.46,3.37,3.47,3.31,150.15M,2.37%
2004-10-06,3.43,3.45,3.46,3.4,134.00M,-0.87%
2004-10-07,3.47,3.42,3.5,3.42,141.34M,1.17%
2004-10-08,3.45,3.47,3.5,3.43,110.88M,-0.58%
2004-10-11,3.38,3.43,3.47,3.35,104.99M,-2.03%
2004-10-12,3.44,3.37,3.44,3.34,118.40M,1.78%
2004-10-13,3.53,3.59,3.59,3.51,197.90M,2.62%
2004-10-14,3.55,3.53,3.56,3.47,104.69M,0.57%
2004-10-15,3.61,3.63,3.64,3.55,132.09M,1.69%
2004-10-18,3.73,3.58,3.73,3.53,140.66M,3.32%
2004-10-19,3.7,3.77,3.81,3.69,181.39M,-0.80%
2004-10-20,3.52,3.7,3.73,3.49,227.79M,-4.86%
2004-10-21,3.74,3.61,3.76,3.54,299.96M,6.25%
2004-10-22,4.31,4.27,4.51,4.11,738.40M,15.24%
2004-10-25,4.69,4.41,4.87,4.32,655.51M,8.82%
2004-10-26,4.55,4.67,4.82,4.5,446.28M,-2.99%
2004-10-27,4.65,4.56,4.74,4.55,267.47M,2.20%
2004-10-28,4.84,4.67,4.86,4.64,297.13M,4.09%
2004-10-29,4.77,4.98,5.0,4.77,423.67M,-1.45%
2004-11-01,4.91,4.84,4.95,4.79,244.67M,2.94%
2004-11-02,4.88,4.97,4.99,4.84,227.32M,-0.61%
2004-11-03,4.8,4.96,5.04,4.77,277.95M,-1.64%
2004-11-04,4.62,4.71,4.76,4.59,289.49M,-3.75%
2004-11-05,4.24,4.55,4.56,4.22,397.04M,-8.23%
2004-11-08,4.32,4.28,4.39,4.24,224.00M,1.89%
2004-11-09,4.22,4.36,4.38,4.14,223.21M,-2.31%
2004-11-10,4.2,4.27,4.32,4.16,213.03M,-0.47%
2004-11-11,4.58,4.23,4.6,4.19,300.46M,9.05%
2004-11-12,4.55,4.64,4.75,4.44,334.92M,-0.66%
2004-11-15,4.63,4.52,4.71,4.47,238.03M,1.76%
2004-11-16,4.32,4.44,4.49,4.27,418.58M,-6.70%
2004-11-17,4.32,4.23,4.44,4.23,362.76M,0.00%
2004-11-18,4.19,4.26,4.36,4.15,332.67M,-3.01%
2004-11-19,4.24,4.23,4.25,4.17,176.33M,1.19%
2004-11-22,4.13,4.22,4.24,4.04,247.44M,-2.59%
2004-11-23,4.19,4.2,4.27,4.17,248.53M,1.45%
2004-11-24,4.37,4.38,4.43,4.32,305.81M,4.30%
2004-11-26,4.49,4.4,4.51,4.39,129.60M,2.75%
2004-11-29,4.53,4.51,4.58,4.44,213.40M,0.89%
2004-11-30,4.55,4.52,4.58,4.51,154.91M,0.44%
2004-12-01,4.5,4.55,4.57,4.49,157.36M,-1.10%
2004-12-02,4.49,4.5,4.54,4.47,125.41M,-0.22%
2004-12-03,4.51,4.5,4.53,4.44,117.47M,0.45%
2004-12-06,4.41,4.48,4.52,4.4,125.15M,-2.22%
2004-12-07,4.29,4.4,4.41,4.27,137.44M,-2.72%
2004-12-08,4.25,4.27,4.35,4.22,150.84M,-0.93%
2004-12-09,4.34,4.26,4.34,4.22,153.10M,2.12%
2004-12-10,4.3,4.34,4.38,4.29,86.41M,-0.92%
2004-12-13,4.27,4.3,4.33,4.24,96.38M,-0.70%
2004-12-14,4.47,4.28,4.47,4.24,222.05M,4.68%
2004-12-15,4.5,4.45,4.52,4.42,230.92M,0.67%
2004-12-16,4.42,4.43,4.52,4.4,171.55M,-1.78%
2004-12-17,4.51,4.42,4.52,4.42,148.35M,2.04%
2004-12-20,4.63,4.55,4.72,4.55,196.44M,2.66%
2004-12-21,4.6,4.66,4.7,4.59,110.49M,-0.65%
2004-12-22,4.66,4.6,4.68,4.58,78.20M,1.30%
2004-12-23,4.7,4.69,4.72,4.65,72.31M,0.86%
2004-12-27,4.8,4.73,4.84,4.73,122.11M,2.13%
2004-12-28,4.82,4.81,4.84,4.78,82.96M,0.42%
2004-12-29,4.83,4.8,4.84,4.8,53.59M,0.21%
2004-12-30,4.94,4.83,4.96,4.8,118.10M,2.28%
2004-12-31,4.82,4.99,5.0,4.82,153.54M,-2.43%
2005-01-03,5.07,4.94,5.1,4.89,317.21M,5.19%
2005-01-04,4.87,5.04,5.08,4.84,275.25M,-3.94%
2005-01-05,4.84,4.84,4.93,4.81,164.79M,-0.62%
2005-01-06,4.72,4.89,4.9,4.7,207.80M,-2.48%
2005-01-07,4.85,4.77,4.86,4.72,193.32M,2.75%
2005-01-10,4.88,4.87,4.96,4.8,151.10M,0.62%
2005-01-11,4.84,4.9,4.95,4.83,139.25M,-0.82%
2005-01-12,4.89,4.86,4.9,4.77,167.23M,1.03%
2005-01-13,4.89,4.89,4.94,4.86,137.05M,0.00%
2005-01-14,5.0,4.9,5.01,4.86,192.87M,2.25%
2005-01-18,5.1,5.03,5.13,4.97,264.74M,2.00%
2005-01-19,4.94,5.12,5.14,4.92,227.03M,-3.14%
2005-01-20,4.85,4.82,4.91,4.8,180.08M,-1.82%
2005-01-21,4.71,4.87,4.89,4.71,185.89M,-2.89%
2005-01-24,4.52,4.72,4.74,4.51,280.68M,-4.03%
2005-01-25,4.43,4.56,4.56,4.41,213.92M,-1.99%
2005-01-26,4.74,4.49,4.74,4.48,246.92M,7.00%
2005-01-27,4.71,4.72,4.73,4.63,132.62M,-0.63%
2005-01-28,4.76,4.76,4.87,4.66,244.25M,1.06%
2005-01-31,4.9,4.85,4.91,4.8,192.01M,2.94%
2005-02-01,4.8,4.86,4.92,4.77,383.08M,-2.04%
2005-02-02,5.15,5.39,5.43,5.1,657.49M,7.29%
2005-02-03,5.28,5.15,5.34,5.15,260.12M,2.52%
2005-02-04,5.11,5.17,5.2,5.07,296.46M,-3.22%
2005-02-07,4.91,5.14,5.17,4.89,259.63M,-3.91%
2005-02-08,4.97,4.93,5.01,4.87,229.86M,1.22%
2005-02-09,4.79,5.02,5.04,4.74,346.21M,-3.62%
2005-02-10,4.7,4.8,4.81,4.64,379.73M,-1.88%
2005-02-11,4.69,4.67,4.81,4.66,262.52M,-0.21%
2005-02-14,4.83,4.58,4.83,4.53,771.52M,2.99%
2005-02-15,4.89,4.84,5.0,4.83,517.15M,1.24%
2005-02-16,4.97,4.87,4.99,4.86,333.08M,1.64%
2005-02-17,4.95,4.95,5.0,4.93,208.53M,-0.40%
2005-02-18,4.95,4.97,4.98,4.92,170.14M,0.00%
2005-02-22,4.79,4.92,4.98,4.76,270.13M,-3.23%
2005-02-23,4.85,4.84,4.87,4.72,313.01M,1.25%
2005-02-24,4.73,4.59,4.75,4.56,516.74M,-2.47%
2005-02-25,4.65,4.73,4.75,4.64,199.68M,-1.69%
2005-02-28,4.7,4.65,4.75,4.65,156.49M,1.08%
